title,level
안면인식 CCTV 도입으로 중국식 감시사회가 도래한다,전혀 사실 아님
영업제한업종 소상공인은 2019년 대비 2020년 총매출이 감소해야 4차 재난지원금을 받을 수 있다,대체로 사실
코로나19로 인해 우리나라 사망률이 급증했다,대체로 사실 아님
문대통령이 본인이 먼저 코로나19 백신을 맞을 수 있다고 TV에 나와 얘기했다,절반의 사실
아스트라제네카 백신은 안전성에 문제가 있다,대체로 사실 아님
한국의 코로나19 대응을 위한 재정지원 규모는 경제선진국 가운데 최하 수준이다,절반의 사실
코로나19에도 강아지 산책 가능하다,대체로 사실
자가격리자 구호물품 대신 현금으로 받을 수 있다,절반의 사실
코로나19에 감염된 반려동물로부터 사람이 재감염될 우려가 있다,대체로 사실 아님
'중국 봉쇄'로 코로나19 막을 수 있었다,대체로 사실 아님
코로나19 사망자 수가 노로바이러스나 말라리아로 인한 사망자 수보다 훨씬 적다,대체로 사실 아님
코로나19 상황에서도 가장 큰 이익을 보고 있는 업종은 금융업이다,전혀 사실 아님
인터콥이 코로나19 방역에 협조하고 있다,대체로 사실 아님
11월까지 전 국민 집단면역 수준 가능하다,대체로 사실 아님
"최근 호주나 뉴질랜드, 대만 등의 코로나19 방역 상황이 한국보다 낫다",사실
"호주, 뉴질랜드, 대만 등이 전체 인구수 이상의 코로나19 백신을 확보했다",대체로 사실
"호주, 뉴질랜드, 대만 등이 백신을 '물리적으로' 확보하고 있다",전혀 사실 아님
해외 신속진단키트가 콜라에도 양성 반응이 나온 것은 코로나19 검사가 부정확하다는 증거다,전혀 사실 아님
"유명 중식당 하림각, 코로나19 때문에 영업 중단했다",절반의 사실
구충제 ‘이버멕틴’의 코로나19 예방 및 치료효과가 임상 시험에서 입증됐다,대체로 사실 아님
찌개·반찬 같이 먹는 한국 식습관이 코로나 확산 불렀다,절반의 사실
코로나19 완치자 ‘양성’인 채 퇴원한다,절반의 사실
코로나19 확진자 격리해제 시 경우에 따라 PCR(유전자증폭)검사 받지 않아도 된다,사실
대구 헬스장 관장이 코로나19로 인한 경제적 어려움으로 극단적 선택했다,전혀 사실 아님
"동부구치소 피켓 호소, 처벌 가능하다",절반의 사실
영국 변이 바이러스를 ‘코로나20’으로 부를 수 있다,전혀 사실 아님
"사회적 거리두기 3단계 격상되면 택배, 마트 이용 불가능하다",대체로 사실 아님
2020년 12월 현재 예년보다 전체사망률이 약 6% 상승했다,전혀 사실 아님
직계가족은 5인 이상 집합금지의 예외다,절반의 사실
코로나 환자 돌보는 의사·간호사 일당 1만4600원?,전혀 사실 아님
K-방역 홍보비로 1200억원을 사용했다,전혀 사실 아님
사회적 거리두기 3단계 우려에 사재기 조짐이 보인다,전혀 사실 아님
K 방역의 실체는 검사 수를 줄여 확진자를 조작한 것이다,전혀 사실 아님
"""호주는 코로나19 팬데믹이 시작되자마자 모든 매장주에게 2천만원을 쐈다""",전혀 사실 아님
야외 활동 중에는 코로나 감염 위험이 낮다,전혀 사실 아님
"""지하철 야간 운행 감축으로 밀집도 높아져 코로나 감염 위험성 증가했다""",대체로 사실 아님
울릉도 확진자 ‘0명’은 염분 때문?,전혀 사실 아님
"""코로나19 바이러스의 pH 범위는 5.5~8.5, 레몬·오렌지 등을 먹으면 바이러스 제거할 수 있다""",전혀 사실 아님
코로나19 시기 여행 특화 신용카드 '거래 정지' 가능하다?,전혀 사실 아님
"한국 코로나 검사, 진단키트 판독기준(CT값)이 낮아 확진자 수 적다",전혀 사실 아님
군 휴가 통제로 수능 응시 희망 장병들은 수능을 볼 수 없다,절반의 사실
"신종 코로나바이러스 감염증(코로나19) 백신, 한국도 부족한데 북한에게 퍼준다?",전혀 사실 아님
정부가 코로나19 백신을 통해 RFID칩을 인체에 삽입하려 한다,전혀 사실 아님
